Name,Position
Jude Bellingham,MOC
Raúl García,BU
Toni Kroos,MG
Arda Güler,AD
Juanma Herzog,DC
Lucas Vázquez,DD
Federico Valverde,MD
Frenkie de Jong,MC
Brahim Díaz,BU
Vinícius Júnior,BU
İlkay Gündoğan,MC
Eduardo Camavinga,MG
Lamine Yamal,BU
Joselu,BU
Aurélien Tchouameni,MDC
Thibaut Courtois,G
Luka Modrić,MOC
Fran Vieites,G
Aleix García,MDC
Jesús Owono,G
Reinildo,DC
Raphinha,BU
Jules Koundé,DD
Daley Blind,DC
Rodrygo,BU
Daniel Carvajal,DD
Eric García,DC
Robert Lewandowski,BU
Marcos Alonso,DG
Takefusa Kubo,BU
Antoine Griezmann,BU
João Cancelo,DG
Andriy Lunin,G
Ángel Correa,BU
Iván Cuéllar,G
Dani Ceballos,MC
Sávio,AG
Isco,MOC
Rodrigo De Paul,MC
Iñaki Williams,AD
Paulo Gazzaniga,G
Marc-André ter Stegen,G
Johnny Cardoso,MDC
Alexander Sørloth,BU
Guido Rodríguez,MDC
Ferland Mendy,DG
João Félix,BU
Gorka Guruzeta,BU
Pepe Reina,G
David Alaba,DC
Sergio Ramos,DC
Samuel Lino,MG
Axel Witsel,DC
Miguel Gutiérrez,DG
Gavi,MC
Pedri,MC
Íñigo Martínez,DC
Jeremías Ledesma,G
Giorgi Mamardashvili,G
Nico Williams,AG
Artem Dovbyk,BU
Valery Fernández,MG
Julen Agirrezabala,G
Kepa Arrizabalaga,G
Koke,MC
Fran García,DG
Álex Remiro,G
Viktor Tsygankov,MD
Unai Simón,G
Bertrand Traoré,MD
Yuri Berchiche,DG
Luís Maximiano,G
Martín Zubimendi,MC
Filip Jørgensen,G
Kirian Rodríguez,MC
Yerson Mosquera,DC
Álvaro Vallés,G
Nacho Fernández,DC
Ronald Araújo,DC
David Gil,G
Mario Hermoso,DC
Ørjan Nyland,G
Jan Oblak,G
Anastasios Douvikas,BU
Predrag Rajković,G
David Soria,G
Antonio Sivera,G
Ante Budimir,BU
Dani Parejo,MC
Randy Nteka,BU
Antonio Rüdiger,DC
Erik Lamela,AG
Iván Martín,MC
Vicente Guaita,G
Fernando,MDC
Iago Aspas,BU
Damián Rodríguez,MC
Pepelu,MC
Sergio Herrera,G
Enes Ünal,BU
Yangel Herrera,MC
Pablo Fornals,AD
Florian Lejeune,DC
César Azpilicueta,DC
Gerard Moreno,BU
Daniel Vivian,DC
Mouctar Diakhaby,DC
Ayoze Pérez,AG
Jaílson,DC
Williot Swedberg,BU
Mikel Merino,MC
Claudio Bravo,G
Germán Pezzella,DC
Ander Herrera,MDC
Beñat Prados,MDC
Andrés Guardado,MDC
Carl Starfelt,DC
Stole Dimitrievski,G
Luiz Henrique,AD
Pau Cubarsí,DC
David López,DC
Éder Militão,DC
Óscar de Marcos,DD
Hugo Álvarez,MG
Sergi Cardona,DG
Andreas Christensen,DC
Adrià Pedrosa,DG
Saúl Ñíguez,MC
Yannick Carrasco,DLG
Borja Mayoral,BU
Yan Couto,DD
Renato Tapia,MC
Jorge Cuenca,DC
Sergi Roberto,MC
Antonio Raíllo,DC
Aleksandar Radovanović,DC
Boubakary Soumaré,MC
Carlos Vicente,AD
Nahuel Tenaglia,DC
David García,DC
Mohamed-Ali Cho,BU
Héctor Fort,DG
Íñigo Ruíz de Galarreta,MDC
Alejandro Baldé,DG
Lucas Robertone,MDC
Malcom Ares,AG
Luiz Felipe,DC
Oriol Romeu,MC
Rodrigo Riquelme,MG
Gonçalo Guedes,BU
Faitout Maouassa,DG
Nemanja Gudelj,DC
Aitor Ruibal,DD
Nabil Fekir,MOC
Unai Núñez,DC
Juan Miranda,DG
Mason Greenwood,MD
Arnau Martínez,DD
Álvaro Morata,BU
Juan Foyth,DD
Rui Silva,G
Loïc Badé,DC
Marko Dmitrović,G
Aritz Elustondo,DC
Yassine Bounou,G
Oihan Sancet,MOC
Marc Guiu,BU
Sergio Arribas,MOC
Brais Méndez,MC
Ivan Rakitić,MC
Alberto Moreno,DG
Manu Morlanes,MC
Marc Roca,MDC
Sheraldo Becker,BU
Augusto Batalla,G
Santi Comesaña,MC
Robin Le Normand,DC
Aïssa Mandi,DC
Portu,MOC
Hugo Duro,BU
Eric Bailly,DC
Sergi Darder,MC
Mikel Vesga,MDC
Jonathan Viera,MOC
Fernando Martínez,G
Jon Pacheco,DC
Íñigo Lekue,DG
Mikel Oyarzabal,BU
Chadi Riad,DC
Jonathan Bamba,MG
Hamari Traoré,DD
Giuliano Simeone,AG
Ferran Torres,BU
Kike García,BU
Pablo Barrios,MC
Mika Màrmol,DC
Iñaki Peña,G
Vedat Muriqi,BU
Jørgen Strand Larsen,BU
José Gayà,DG
Pep Chavarría,DG
Luis Suárez,BU
Kiko Femenía,DD
Pathé Ciss,MC
Sokratis Papastathopoulos,DC
Aiham Hanz Ousou,DC
Álex Baena,MG
Yeray Álvarez,DC
Juanlu Sánchez,DD
Imanol,DG
José María Giménez,DC
Franco Cervi,MG
Youssef En-Nesyri,BU
Isaac Romero,BU
Mihailo Ristić,DG
Julián Araujo,DD
Igor Zubeldía,DC
Armando Gabriel Paulista,DC
Suso,MC
Francis Coquelin,MC
Lucas Ocampos,BU
Stefan Savić,DC
Lucien Agoumé,MC
Álex Suárez,DD
Fermín,MC
Nemanja Maksimović,MC
Marcão,DC
André Ferreira,G
Memphis Depay,BU
Sergi Canós,MG
Moi Gómez,MC
Diego Rico,DG
Johan Mojica,DG
Youssouf Sabaly,DD
Aitor Paredes,DC
Álex Berenguer,AG
Aridane Hernández,DC
Marcos Llorente,MC
Matija Nastasić,DC
Jaume Doménech,G
Matteo Gabbia,DC
Saúl Coco,DC
José Arnáiz,BU
Javi Galán,DG
Hugo Sotelo,MC
Bruno Langa,DG
Thierry Correia,DD
Rafa Marín,DC
Beñat Turrientes,MC
Nuke Mfulu,MC
Iván Villar,G
Cristhian Stuani,BU
Javi López,DG
Rubén García,BU
Óscar Mingueza,MD
Fran Beltrán,MC
Sergi Altimira,MDC
Pablo Ibáñez,MC
Eric Curbelo,DC
Willian José,BU
Alejandro Catena,DC
Kieran Tierney,DG
Rubén Alcaraz,MC
Marcos Peña Ocaña,MDC
Jesús Areso,DD
Étienne Capoue,MC
Luis Rioja,AG
Luis Milla,MC
Dion Lopy,MDC
Miguel Rubio,DC
Martin Valjent,DC
Iker Muñoz,MC
Umar Sadiq,BU
Carlos Domínguez,DC
Nahuel Molina,MD
Manu Sánchez,DG
Rubén Duarte,DG
Hugo Guillamón,MC
Cristhian Mosquera,DC
Bryan Zaragoza,BU
Marc Pubill,DD
Marc Martínez,G
Abdul Mumin,DC
Fede San Emeterio,MC
Javi Hernández,DG
Alberto Risco Alcántara,MC
Marcos Acuña,DG
Rominigue Kouamé,MC
Fali,DC
Juanpe,DC
Chris Ramos,BU
Joseph Aidoo,DC
Jesús Navas,DD
Abner,DG
Largie Ramazani,AG
Aihen Muñoz,DG
Kike Salas,DC
Ianis Hagi,MOC
Carlos Benavídez,MDC
Léo Baptistão,BU
Jesús Vázquez,DG
Adrián Embarba,AG
Aleksandar Sedlar,DC
Diego Mariño,G
Juan Iglesias,DD
Aitor Fernández,G
Giovanni González,DLD
Sandro Ramírez,BU
Ignasi Miquel,DC
Iván Balliu,DD
Andoni Gorosabel,DD
Ricardo Visus,DC
Óscar Valentín,MDC
Jon Guridi,MOC
Gonzalo Villar,MC
Ez Abde,AG
Alfonso Pedraza,DG
Isaac Carcelén,DD
Jorge Herrando,DC
Sergio Ruiz,MC
Raúl Albiol,DC
Bruno Méndez,DD
Gastón Álvarez,DC
Dani García,MDC
André Almeida,BU
Joaquín Panichelli,MOC
Jesús Santiago,MC
Cenk Özkacar,DC
Jaume Costa,DLG
Ezequiel Ávila,BU
Unai López,MC
Enzo Loiodice,MC
Jorge de Frutos,AD
Luka Romero,AD
Djibril Sow,MC
Diego López,MG
Darwin Machís,MG
William Carvalho,MDC
Víctor Chust,DC
Luca de la Torre,MC
Álex Sola,AD
Óliver Torres,MC
Álvaro Odriozola,DD
Marc Bartra,DC
